ref_area,ref_area_label,classif1,classif1_label,time,obs_value_pay_gap,obs_status_label,obs_value_employees_women,obs_value_employees_men,obs_value_earnings_women,obs_value_earnings_men,obs_value_hours_women,obs_value_hours_men,earnings_ratio,hours_ratio,employment_ratio,delta_earnings,delta_hours
ago,angola,ocu_skill_x,ocupación (nivel de competencia): no clasificados en otra parte,2019,36.874,ruptura de serie,4.328,104.928,1.655,2.622,42.96,53.41,0.6311975591151793,0.8043437558509643,0.04124733150350717,0.9669999999999999,10.449999999999996
ago,angola,ocu_isco08_total,ocupación (ciuo-08): total,2019,26.308,ruptura de serie,763.909,1780.145,1.371,1.861,40.76,49.35,0.7367006985491671,0.8259371833839918,0.42912740254305126,0.49,8.590000000000003
ago,angola,ocu_isco08_1,ocupación (ciuo-08): 1. directores y gerentes,2019,-0.337,ruptura de serie,15.133,113.535,2.912,2.902,39.04,44.49,1.003445899379738,0.8775005619240278,0.13328929405029286,-0.009999999999999787,5.450000000000003
ago,angola,ocu_isco08_2,ocupación (ciuo-08): 2. profesionales científicos e intelectuales,2019,11.146,ruptura de serie,171.224,289.348,3.018,3.397,32.69,33.64,0.8884309685016191,0.9717598097502972,0.5917580214827819,0.379,0.9500000000000028
ago,angola,ocu_isco08_3,ocupación (ciuo-08): 3. técnicos y profesionales de nivel medio,2019,41.692,ruptura de serie,46.852,158.825,2.027,3.477,41.81,45.55,0.5829738280126546,0.9178924259055984,0.294991342672753,1.4499999999999997,3.739999999999995
ago,angola,ocu_isco08_4,ocupación (ciuo-08): 4. personal de apoyo administrativo,2019,32.574,ruptura de serie,25.221,49.769,1.357,2.013,44.77,47.89,0.6741182314952807,0.9348506995197328,0.5067612369145452,0.6559999999999999,3.1199999999999974
ago,angola,ocu_isco08_5,ocupación (ciuo-08): 5. trabajadores de los servicios y vendedores de comercios y mercados,2019,26.99,ruptura de serie,264.386,440.901,0.837,1.146,46.73,58.15,0.7303664921465969,0.8036113499570077,0.5996493543902146,0.30899999999999994,11.420000000000002
ago,angola,ocu_isco08_6,"ocupación (ciuo-08): 6. agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2019,38.849,ruptura de serie,24.064,79.758,0.473,0.773,33.86,43.97,0.611901681759379,0.7700705026154196,0.3017126808596003,0.30000000000000004,10.11
ago,angola,ocu_isco08_7,"ocupación (ciuo-08): 7. oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2019,49.133,ruptura de serie,9.746,220.427,0.567,1.114,43.11,50.27,0.5089766606822261,0.8575691267157349,0.04421418428776874,0.5470000000000002,7.160000000000004
ago,angola,ocu_isco08_8,ocupación (ciuo-08): 8. operadores de instalaciones y máquinas y ensambladores,2019,39.302,ruptura de serie,3.301,232.887,0.498,0.821,45.87,56.82,0.6065773447015834,0.807286166842661,0.01417425618432974,0.32299999999999995,10.950000000000003
ago,angola,ocu_isco08_9,ocupación (ciuo-08): 9. ocupaciones elementales,2019,28.919,ruptura de serie,199.652,89.767,0.533,0.75,39.68,48.21,0.7106666666666667,0.8230657539929475,2.224113538382702,0.21699999999999997,8.530000000000001
